Area Code;Area Code (M49);Area;Item Code;Item Code (CPC);Item;Element Code;Element;Unit;Y2000;Y2001;Y2002;Y2003;Y2004;Y2005;Y2006;Y2007;Y2008;Y2009;Y2010;Y2011;Y2012;Y2013;Y2014;Y2015;Y2016;Y2017;Y2018;Y2019;Y2020;Y2021;Y2022;Y2023;Y2024
2;'004;Afghanistan;875;'F0875;Beef and veal preparations nes;5610;Import quantity;t;;;;;;;;;;;;;;;672.100000;149.240000;306.730000;;409.350000;;410.730000;410.620000;326.210000;0.100000;0.330000
2;'004;Afghanistan;875;'F0875;Beef and veal preparations nes;5622;Import value;1000 USD;;;;;;;;;;;;;;;2687.000000;906.000000;1411.000000;;1776.000000;;1072.000000;524.000000;252.000000;1.000000;3.000000
2;'004;Afghanistan;875;'F0875;Beef and veal preparations nes;5910;Export quantity;t;;;;;;;;;;;;;;;;;4.270000;;;;0.030000;;;;0.160000
2;'004;Afghanistan;875;'F0875;Beef and veal preparations nes;5922;Export value;1000 USD;;;;;;;;;;;;;;;;;2.000000;;;;1.000000;;;;0.000000
2;'004;Afghanistan;257;'2165;Palm oil;5610;Import quantity;t;3200.000000;800.000000;28000.000000;59100.000000;140800.000000;188600.000000;156200.000000;151300.000000;102800.000000;82900.000000;108500.000000;91100.000000;110600.000000;119000.000000;145000.000000;153000.000000;161400.000000;174800.000000;192400.000000;10625.290000;154503.390000;187282.700000;255497.490000;324750.570000;209488.280000
2;'004;Afghanistan;257;'2165;Palm oil;5622;Import value;1000 USD;900.000000;320.000000;20600.000000;38700.000000;128000.000000;181000.000000;151000.000000;144000.000000;98000.000000;83000.000000;130000.000000;110000.000000;133000.000000;142000.000000;174000.000000;183600.000000;193680.000000;209760.000000;231000.000000;2782.000000;139864.000000;270463.000000;418280.000000;381261.000000;250285.000000
2;'004;Afghanistan;237;'2161;Soya bean oil;5610;Import quantity;t;23200.000000;24000.000000;7468.000000;6215.000000;5582.000000;35115.000000;18022.000000;20700.000000;10900.000000;5800.000000;15400.000000;16000.000000;16000.000000;16300.000000;10000.000000;11000.000000;11000.000000;11000.000000;10700.000000;10400.000000;5000.000000;4600.000000;4300.000000;;239.000000
2;'004;Afghanistan;237;'2161;Soya bean oil;5622;Import value;1000 USD;16000.000000;16000.000000;4987.000000;6188.000000;4800.000000;30000.000000;16000.000000;17000.000000;11000.000000;6800.000000;20000.000000;21000.000000;21000.000000;21000.000000;12000.000000;13200.000000;13200.000000;13200.000000;13000.000000;12000.000000;5800.000000;8300.000000;8000.000000;;279.000000
2;'004;Afghanistan;237;'2161;Soya bean oil;5910;Export quantity;t;;;;;;;;;;;;;;;;;;;;;;;;;0.000000
2;'004;Afghanistan;237;'2161;Soya bean oil;5922;Export value;1000 USD;;;;;;;;;;;;;;;;;;;;;;;;;0.000000
2;'004;Afghanistan;236;'0141;Soya beans;5610;Import quantity;t;;;;;;;;;;;;;;;6.000000;408.670000;56.240000;4192.420000;3000.000000;3260.000000;10754.300000;600.000000;286.000000;60358.600000;1512.000000
2;'004;Afghanistan;236;'0141;Soya beans;5622;Import value;1000 USD;;;;;;;;;;;;;;;7.000000;207.000000;31.000000;799.000000;600.000000;1194.000000;4304.000000;400.000000;218.000000;35380.000000;822.000000
2;'004;Afghanistan;236;'0141;Soya beans;5910;Export quantity;t;;;;;;;;;;;;;;;;2.460000;;709.500000;0.000000;;2.820000;;;;0.390000
2;'004;Afghanistan;236;'0141;Soya beans;5922;Export value;1000 USD;;;;;;;;;;;;;;;;4.000000;;457.000000;0.000000;;14.000000;;;;0.000000
2;'004;Afghanistan;239;'23995.01;Soya sauce;5610;Import quantity;t;;;;;;;;;;;;;;;36.440000;8.360000;99.970000;;26.630000;42.250000;33.800000;44.340000;43.060000;42.840000;38.740000
2;'004;Afghanistan;239;'23995.01;Soya sauce;5622;Import value;1000 USD;;;;;;;;;;;;;;;60.000000;26.000000;158.000000;;74.000000;102.000000;37.000000;41.000000;91.000000;63.000000;49.000000
